"ICTVnames" "accessionIDs"
"Vibrio virus Vc1" "NC_047746"
"Vibrio virus A318" "NC_025822"
"Vibrio virus AS51" "NC_047737"
"Vibrio virus Vp670" "NC_047803"
"Marinomonas virus CB5A" "NC_047836"
"Marinomonas virus CPP1m" "NC_047821"
"Vibrio virus VEN" "NC_047903"
"Pseudomonas virus Achelous" "NC_047956"
"Pseudomonas virus Alpheus" "NC_047957"
"Pseudomonas virus Nerthus" "NC_047955"
"Pseudomonas virus Njord" "NC_047954"
"Pseudomonas virus uligo" "NC_047894"
"Pseudomonas virus C171" "NC_030923"
"Pectobacterium virus PP16" "NC_031068"
"Pectobacterium virus PPWS1" "NC_047758"
"Pectobacterium virus PPWS2" "NC_048103"
"Pectobacterium virus CB5" "NC_042131"
"Pectobacterium virus Clickz" "NC_048116"
"Pectobacterium virus fM1" "NC_041854"
"Pectobacterium virus Gaspode" "NC_048056"
"Pectobacterium virus Khlen" "NC_048117"
"Pectobacterium virus Koot" "NC_048118"
"Pectobacterium virus Lelidair" "NC_048058"
"Pectobacterium virus Nobby" "NC_048061"
"Pectobacterium virus Peat1" "NC_029081"
"Pectobacterium virus Phoria" "NC_048119"
"Pectobacterium virus PP90" "NC_031096"
"Pectobacterium virus Zenivior" "NC_048120"
"Dickeya virus BF25-12" "NC_047759"
"Pseudomonas virus NV3" "NC_047933"
"Pseudomonas virus 130-113" "NC_047953"
"Pseudomonas virus 15pyo" "NC_047967"
"Pseudomonas virus Ab05" "NC_026602"
"Pseudomonas virus ABTNL" "NC_027375"
"Pseudomonas virus DL62" "NC_028836"
"Pseudomonas virus kF77" "NC_012418"
"Pseudomonas virus LKD16" "NC_009935"
"Pseudomonas virus LUZ19" "NC_010326"
"Pseudomonas virus MPK6" "NC_022746"
"Pseudomonas virus MPK7" "NC_022091"
"Pseudomonas virus NFS" "NC_047852"
"Pseudomonas virus PAXYB1" "NC_047952"
"Pseudomonas virus phiKMV" "NC_005045"
"Pseudomonas virus PT2" "NC_011107"
"Pseudomonas virus PT5" "NC_011105"
"Pseudomonas virus RLP" "NC_048168"
"Pseudomonas virus LKA1" "NC_009936"
"Pseudomonas virus f2" "NC_013638"
"Aeromonas virus 25AhydR2PP" "NC_047966"
"Aeromonas virus AS7" "NC_019528"
"Aeromonas virus ZPAH7" "NC_048133"
"Yersinia virus ISAO8" "NC_028850"
"Aeromonas virus Ahp1" "NC_047866"
"Aeromonas virus CF7" "NC_047865"
"Cronobacter virus DevCD23823" "NC_029070"
"Cronobacter virus GAP227" "NC_020078"
"Salmonella virus Spp16" "NC_047941"
"Yersinia virus R8-01" "NC_047951"
"Yersinia virus fHeYen301" "NC_047805"
"Yersinia virus Phi80-18" "NC_019911"
"Pectobacterium virus Arno160" "NC_048111"
"Pectobacterium virus PP2" "NC_047778"
"Proteus virus PM85" "NC_027379"
"Proteus virus PM93" "NC_027390"
"Proteus virus PM116" "NC_047858"
"Proteus virus Pm5460" "NC_028916"
"Pectobacterium virus PP1" "NC_019542"
"Erwinia virus Era103" "NC_009014"
"Erwinia virus S2" "NC_047917"
"Lelliottia virus phD2B" "NC_025450"
"Citrobacter CrRp3" "NC_047920"
"Escherichia virus AAPEc6" "NC_047769"
"Escherichia virus ACGC91" "NC_019403"
"Escherichia virus B" "NC_047806"
"Escherichia virus C" "NC_047807"
"Escherichia virus K" "NC_047809"
"Escherichia virus K1-5" "NC_008152"
"Escherichia virus K1E" "NC_007637"
"Escherichia virus mutPK1A2" "NC_047889"
"Escherichia virus VEc3" "NC_047899"
"Escherichia virus UAB78" "NC_020414"
"Salmonella virus BP12B" "NC_031271"
"Salmonella virus SP6" "NC_004831"
"Burkholderia virus BpAMP1" "NC_047743"
"Ralstonia virus RSPI1" "NC_047816"
"Ralstonia virus RSB1" "NC_011201"
"Ralstonia virus RsoP1IDN" "NC_047930"
"Burkholderia virus JG068" "NC_022916"
"Ralstonia virus RSJ2" "NC_028988"
"Ralstonia virus RSJ5" "NC_029007"
"Ralstonia virus RSPII1" "NC_047804"
"Shigella virus Buco" "NC_048174"
"Escherichia virus Minorna" "NC_048172"
"Klebsiella virus AltoGao" "NC_047849"
"Klebsiella virus BO1E" "NC_047748"
"Klebsiella virus F19" "NC_023567"
"Klebsiella virus K244" "NC_025418"
"Klebsiella virus Kp2" "NC_028664"
"Klebsiella virus KP34" "NC_013649"
"Klebsiella virus KPRio2015" "NC_047779"
"Klebsiella virus KpS2" "NC_047857"
"Klebsiella virus KpV41" "NC_028670"
"Klebsiella virus KpV48" "NC_047783"
"Klebsiella virus KpV71" "NC_031246"
"Klebsiella virus KpV74" "NC_047811"
"Klebsiella virus KpV475" "NC_031025"
"Klebsiella virus KPV811" "NC_047787"
"Klebsiella virus myPSH1235" "NC_047944"
"Klebsiella virus SU503" "NC_028816"
"Klebsiella virus SU552A" "NC_028870"
"Shigella virus SFN6B" "NC_047929"
"Enterobacter virus KDA1" "NC_027980"
"Proteus virus PM16" "NC_027342"
"Proteus virus PM75" "NC_027363"
"Dickeya virus Dagda" "NC_047961"
"Dickeya virus Katbat" "NC_048057"
"Dickeya virus Luksen" "NC_048059"
"Dickeya virus Mysterion" "NC_048060"
"Yersinia virus AP10" "NC_028655"
"Erwinia virus FE44" "NC_022744"
"Escherichia virus 285P" "NC_015249"
"Escherichia virus BA14" "NC_011040"
"Escherichia virus P483" "NC_028822"
"Escherichia virus P694" "NC_028863"
"Escherichia virus S523" "NC_047984"
"Kluyvera virus Kvp1" "NC_011534"
"Pectobacterium virus PP74" "NC_047789"
"Salmonella virus BP12A" "NC_031258"
"Salmonella virus BSP161" "NC_048105"
"Shigella virus A7" "NC_048180"
"Yersinia virus Berlin" "NC_008694"
"Yersinia virus PYPS50" "NC_048108"
"Yersinia virus Yepe2" "NC_011038"
"Yersinia virus Yepf" "NC_023715"
"Vibrio virus ICP3" "NC_015159"
"Vibrio virus N4" "NC_013651"
"Vibrio virus VP4" "NC_007149"
"Enterobacter virus Eap1" "NC_028772"
"Erwinia virus L1" "NC_019510"
"Escherichia virus SRT7" "NC_048002"
"Pseudomonas virus 17A" "NC_048201"
"Pseudomonas virus gh1" "NC_004665"
"Pseudomonas virus Henninger" "NC_047922"
"Pseudomonas virus KNP" "NC_047827"
"Pseudomonas virus Pf1ERZ2017" "NC_047874"
"Pseudomonas virus PhiPSA2" "NC_024362"
"Pseudomonas virus PhiPsa17" "NC_047747"
"Pseudomonas virus PPPL1" "NC_028661"
"Pseudomonas virus shl2" "NC_048200"
"Pseudomonas virus WRT" "NC_047826"
"Yersinia virus fPS9" "NC_047934"
"Yersinia virus fPS53" "NC_047936"
"Yersinia virus fPS59" "NC_047935"
"Yersinia virus fPS54ocr" "NC_047937"
"Pectobacterium virus Jarilo" "NC_047963"
"Citrobacter virus CR44b" "NC_023576"
"Citrobacter virus SH3" "NC_031123"
"Citrobacter virus SH4" "NC_031018"
"Cronobacter virus Dev2" "NC_023558"
"Cronobacter virus GW1" "NC_048161"
"Enterobacter virus EcpYZU01" "NC_048135"
"Escherichia virus EcoDS1" "NC_011042"
"Escherichia virus F" "NC_047808"
"Escherichia virus GA2A" "NC_031943"
"Escherichia virus IMM002" "NC_048071"
"Escherichia virus K1F" "NC_007636"
"Escherichia virus LM33P1" "NC_031937"
"Escherichia virus PE3-1" "NC_024379"
"Escherichia virus Ro45lw" "NC_048136"
"Escherichia virus ST31" "NC_047829"
"Escherichia virus Vec13" "NC_048023"
"Escherichia virus YZ1" "NC_047927"
"Escherichia virus ZG49" "NC_047777"
"Shigella virus SFPH2" "NC_048025"
"Morganella virus MmP1" "NC_011085"
"Morganella virus MP2" "NC_031115"
"Dickeya virus JA10" "NC_048052"
"Dickeya virus Ninurta" "NC_047964"
"Pectobacterium virus PP47" "NC_047801"
"Pectobacterium virus PP81" "NC_047797"
"Pectobacterium virus PPWS4" "NC_047819"
"Pseudomonas virus PPpW4" "NC_023005"
"Pseudomonas virus 22PfluR64PP" "NC_047965"
"Pseudomonas virus IBBPF7A" "NC_015264"
"Pseudomonas virus Pf10" "NC_027292"
"Pseudomonas virus PFP1" "NC_047997"
"Pseudomonas virus PhiS1" "NC_021062"
"Pseudomonas virus UNOSLW1" "NC_047873"
"Pseudomonas virus PspYZU08" "NC_047981"
"Escherichia virus K30" "NC_015719"
"Klebsiella virus 2044-307w" "NC_047842"
"Klebsiella virus BIS33" "NC_047781"
"Klebsiella virus Henu1" "NC_048138"
"Klebsiella virus IL33" "NC_047782"
"Klebsiella virus IME205" "NC_047761"
"Klebsiella virus IME321" "NC_048014"
"Klebsiella virus K5" "NC_028800"
"Klebsiella virus K11" "NC_011043"
"Klebsiella virus K5-2" "NC_047798"
"Klebsiella virus K5-4" "NC_047799"
"Klebsiella virus KN1-1" "NC_048129"
"Klebsiella virus KN3-1" "NC_048131"
"Klebsiella virus KN4-1" "NC_048130"
"Klebsiella virus Kp1" "NC_028688"
"Klebsiella virus KP32" "NC_013647"
"Klebsiella virus KP32i192" "NC_047968"
"Klebsiella virus KP32i194" "NC_047969"
"Klebsiella virus KP32i195" "NC_047970"
"Klebsiella virus KP32i196" "NC_047971"
"Klebsiella virus kpssk3" "NC_048114"
"Klebsiella virus KpV289" "NC_028977"
"Klebsiella virus KpV763" "NC_047771"
"Klebsiella virus KpV766" "NC_047773"
"Klebsiella virus KpV767" "NC_047772"
"Klebsiella virus Pharr" "NC_048175"
"Klebsiella virus PRA33" "NC_047780"
"Klebsiella virus SHKp152234" "NC_047980"
"Klebsiella virus SHKp152410" "NC_047908"
"Citrobacter virus CFP1" "NC_028880"
"Citrobacter virus SH1" "NC_031066"
"Citrobacter virus SH2" "NC_031092"
"Enterobacter virus E2" "NC_029102"
"Enterobacter virus E3" "NC_028795"
"Enterobacter virus KPN3" "NC_047856"
"Enterobacteria virus T7M" "NC_047867"
"Escherichia virus ECA2" "NC_047766"
"Escherichia virus LL2" "NC_048063"
"Escherichia virus T3" "NC_047864"
"Escherichia virus T3Luria" "NC_003298"
"Leclercia virus 10164-302" "NC_047843"
"Salmonella virus SG-JL2" "NC_010807"
"Serratia virus 2050H2" "NC_047844"
"Serratia virus SM9-3Y" "NC_047774"
"Yersinia virus AP5" "NC_025451"
"Yersinia virus YeF10" "NC_047755"
"Yersinia virus YeO3-12" "NC_001271"
"Enterobacteria virus IME390" "NC_048082"
"Escherichia virus 13a" "NC_011045"
"Escherichia virus 64795ec1" "NC_031114"
"Escherichia virus C5" "NC_048079"
"Escherichia virus CICC80001" "NC_027387"
"Escherichia virus Ebrios" "NC_047942"
"Escherichia virus EG1" "NC_047895"
"Escherichia virus HZ2R8" "NC_047923"
"Escherichia virus HZP2" "NC_048164"
"Escherichia virus N30" "NC_048078"
"Escherichia virus NCA" "NC_048163"
"Escherichia virus T7" "NC_001604"
"Salmonella virus 3A8767" "NC_048004"
"Salmonella virus Vi06" "NC_015271"
"Stenotrophomonas virus IME15" "NC_019416"
"Yersinia virus YpPY" "NC_047939"
"Yersinia virus YpsPG" "NC_047940"
"Pseudomonas virus Phi15" "NC_015208"
"Pectobacterium virus DUPPII" "NC_047886"
"Pseudomonas virus 3MF5" "MT597419"
"Synechococcus virus SCBP42" "NC_029031"
"Ralstonia virus Anchaing" "MT740728"
"Aquamicrobium virus P14" "NC_041912"
"Ashivirus S45C4" "NC_047709"
"Agrobacterium virus Atuph02" "NC_047845"
"Agrobacterium virus Atuph03" "NC_047846"
"Ralstonia virus Ap1" "NC_047800"
"Ayaqvirus S45C18" "NC_047704"
"Prochlorococcus virus SS120-1" "NC_020872"
"Pseudomonas virus Andromeda" "NC_031014"
"Pseudomonas virus Bf7" "NC_016764"
"Escherichia virus J8-65" "NC_025445"
"Escherichia virus Lidtsur" "NC_048177"
"Prochlorococcus virus NATL1A7" "NC_016658"
"Chosvirus KM23C739" "NC_048050"
"Rhizobium virus RHEph02" "NC_047868"
"Rhizobium virus RHEph08" "NC_047869"
"Rhizobium virus RHEph09" "NC_047870"
"Vibrio virus Cyclit" "NC_048123"
"Escherichia virus PGT2" "NC_047890"
"Escherichia virus PhiKT" "NC_019520"
"Foussvirus S46C10" "NC_047705"
"Fussvirus S30C28" "NC_047703"
"Escherichia virus ECBP5" "NC_027330"
"Pectobacterium virus PP99" "NC_047802"
"Ralstonia virus DURPI" "NC_047888"
"Ralstonia virus RsoP1EGY" "NC_047946"
"Synechococcus STIP37" "NC_048026"
"Jalkavirus S08C159" "NC_048030"
"Ralstonia virus RSB3" "NC_022917"
"Kawavirus SWcelC56" "NC_047768"
"Synechococcus virus SRIP1" "NC_020867"
"Providencia virus PS3" "NC_048148"
"Curvibacter virus P26059B" "NC_048055"
"Ralstonia virus RSB2" "NC_023736"
"Synechococcus virus SCBP2" "NC_025455"
"Krakvirus S39C11" "NC_047708"
"Podovirus Lau218" "NC_024329"
"Pantoea virus LIMElight" "NC_019454"
"Prochlorococcus virus PGSP1" "NC_020878"
"Synechococcus virus SCBP3" "NC_048184"
"Caulobacter virus Lullwater" "NC_047860"
"Vibrio virus KF1" "NC_048035"
"Vibrio virus KF2" "NC_048036"
"Vibrio virus OWB" "NC_048167"
"Vibrio virus VP93" "NC_012662"
"Pseudomonas virus VSW3" "NC_041885"
"Nohivirus S31C1" "NC_047706"
"Oinezvirus S37C6" "NC_047700"
"Rhizobium virus RHEph01" "NC_047738"
"Pagavirus S05C849" "NC_048033"
"Mesorhizobium virus Lo5R7ANS" "NC_025431"
"Pedosvirus S28C3" "NC_047710"
"Pekhitvirus S04C24" "NC_048031"
"Pelagibacter virus HTVC019P" "NC_020483"
"Pelagivirus S35C6" "NC_047702"
"Caulobacter virus Percy" "NC_029092"
"Delftia virus IMEDE1" "NC_028702"
"Podivirus S05C243" "NC_048032"
"Pseudomonas virus PollyC" "NC_042104"
"Synechococcus virus SCBP4" "NC_048183"
"Powvirus S08C41" "NC_048034"
"Xanthomonas virus f20" "NC_030928"
"Xanthomonas virus f30" "NC_030937"
"Xanthomonas virus XAJ24" "NC_047762"
"Xanthomonas virus Xc10" "NC_047840"
"Xylella virus Prado" "NC_022987"
"Synechococcus virus SB28" "NC_048171"
"Sphingomonas virus Scott" "NC_048029"
"Synechococcus virus SRIP2" "NC_020838"
"Ralstonia virus ITL1" "NC_047751"
"Sieqvirus S42C7" "NC_047701"
"Ralstonia virus RPSC1" "NC_047982"
"Stopalavirus S38C3" "NC_047707"
"Pelagibacter virus HTVC011P" "NC_020482"
"Stupnyavirus KM16C193" "NC_048051"
"Prochlorococcus virus 951510a" "NC_016657"
"Prochlorococcus virus NATL2A133" "NC_016659"
"Prochlorococcus virus PSSP10" "NC_020835"
"Vibrio virus JSF7" "NC_047741"
"Prochlorococcus virus PSSP7" "NC_006882"
"Synechococcus virus P60" "NC_003390"
"Prochlorococcus virus PSSP3" "NC_020874"
"Synechococcus virus PSSP2" "NC_016656"
"Synechococcus virus Syn5" "NC_009531"
"Votkovvirus S28C10" "NC_047711"
"Pantoea virus LIMEzero" "NC_015585"
"Pasteurella virus PHB01" "NC_047832"
"Pasteurella virus PHB02" "NC_047831"
"Escherichia virus flopper" "NC_048845"
"Escherichia virus GJ1" "NC_010106"
"Escherichia virus Mangalitsa" "NC_048799"
"Escherichia virus ST32" "NC_047830"
"Erwinia virus Faunus" "NC_047978"
"Erwinia virus Y2" "NC_019504"
"Pantoea virus SSEM1" "NC_048875"
"Proteus virus Myduc" "NC_048803"
"Escherichia virus 4HA13" "NC_049466"
"Pectobacterium virus PM1" "NC_023865"
"Pectobacterium virus PP101" "NC_047791"
"Aeromonas virus pAh6C" "NC_025459"
"Shewanella virus Spp001" "NC_023594"
"Shewanella virus SppYZU05" "NC_047824"
"Vibrio virus Ceto" "NC_042094"
"Vibrio virus Thalassa" "NC_042095"
"Vibrio virus JSF10" "NC_042074"
"Vibrio virus JSF12" "NC_047882"
"Vibrio virus phi3" "NC_028895"
"Vibrio virus pVp1" "NC_019529"
"Escherichia virus EPS7" "NC_010583"
"Escherichia virus mar003J3" "NC_048203"
"Escherichia virus saus132" "NC_047884"
"Salmonella virus 123" "NC_048149"
"Salmonella virus 329" "NC_048145"
"Salmonella virus 1-19" "NC_048819"
"Salmonella virus 1-29" "NC_048811"
"Salmonella virus 100268sal2" "NC_031902"
"Salmonella virus 118970sal2" "NC_031933"
"Salmonella virus 2-3" "NC_048809"
"Salmonella virus 3-29" "NC_048145"
"Salmonella virus atrejo" "NC_048872"
"Salmonella virus bastian" "NC_048870"
"Salmonella virus bombadil" "NC_048866"
"Salmonella virus faergetype" "NC_048867"
"Salmonella virus fuchur" "NC_048869"
"Salmonella virus LVR16A" "NC_048000"
"Salmonella virus oselot" "NC_048871"
