,input_accessionID,database_accessionID,qstart,qend,nident,input_length,totident
12,AJ581752.1_Gorilline_gammaherpesvirus_1_Pongine_herpesvirus_3_(Gorilla_herpesvirus)_gB_gene_for_glycoprotein_B_gene,NC_027365.1,1713,1740,23,2598,66
13,AJ581752.1_Gorilline_gammaherpesvirus_1_Pongine_herpesvirus_3_(Gorilla_herpesvirus)_gB_gene_for_glycoprotein_B_gene,NC_027365.1,826,843,17,2598,66
14,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,1985,2029,35,2598,236
15,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,2175,2198,21,2598,236
16,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,1251,1276,22,2598,236
17,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,2381,2406,22,2598,236
18,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,1205,1229,23,2598,236
19,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,2217,2239,20,2598,236
20,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,1577,1596,18,2598,236
21,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,789,808,18,2598,236
22,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,1745,1759,15,2598,236
23,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,292,306,15,2598,236
24,"AY124577.1_Chelonid_alphaherpesvirus_6_Lung-eye-trachea_disease-associated_herpesvirus_glycoprotein_B_gene,_complete_cds",NC_027365.1,43,77,27,2598,236
25,"EU349274.1_Salmonid_herpesvirus_2_Salmonid_herpesvirus_2_isolate_NeVTA_DNA_polymerase_gene,_partial_cds",NC_030884.1,231,250,18,451,18
26,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,110384,110406,22,230408,425
27,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,69969,70008,35,230408,425
28,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,115243,115282,32,230408,425
29,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,70246,70275,26,230408,425
30,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,201902,201947,37,230408,425
31,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,91576,91600,23,230408,425
32,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,129007,129045,33,230408,425
33,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,91766,91802,30,230408,425
34,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,66020,66041,21,230408,425
35,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,142974,143025,41,230408,425
36,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,173581,173604,22,230408,425
37,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,26373,26396,22,230408,425
38,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,22423,22451,25,230408,425
39,"GU305914.1_Murid_betaherpesvirus_1_Murid_herpesvirus_1_strain_Smith,_complete_genome",NC_027365.1,122452,122529,56,230408,425
40,"HQ840738.1_Gallid_alphaherpesvirus_3_Gallid_herpesvirus_3_strain_SB-1,_complete_genome",NC_030884.1,12748,12784,32,165994,56
41,"HQ840738.1_Gallid_alphaherpesvirus_3_Gallid_herpesvirus_3_strain_SB-1,_complete_genome",NC_027365.1,161040,161073,28,165994,56
42,"HQ840738.1_Gallid_alphaherpesvirus_3_Gallid_herpesvirus_3_strain_SB-1,_complete_genome",NC_027365.1,138863,138896,28,165994,56
43,"HQ840738.1_Gallid_alphaherpesvirus_3_Gallid_herpesvirus_3_strain_SB-1,_complete_genome",NC_030884.1,12748,12784,32,165994,32
44,"HQ840738.1_Gallid_alphaherpesvirus_3_Gallid_herpesvirus_3_strain_SB-1,_complete_genome",NC_027365.1,161040,161073,28,165994,32
45,"HQ840738.1_Gallid_alphaherpesvirus_3_Gallid_herpesvirus_3_strain_SB-1,_complete_genome",NC_027365.1,138863,138896,28,165994,32
46,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,77376,77405,27,132233,385
47,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,85505,85532,25,132233,385
48,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,99172,99191,20,132233,385
49,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,27293,27361,52,132233,385
50,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,3621,3689,52,132233,385
51,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,108006,108037,27,132233,385
52,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,17945,17973,25,132233,385
53,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,73684,73709,23,132233,385
54,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,1185,1225,32,132233,385
55,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,29757,29797,32,132233,385
56,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,36919,36939,20,132233,385
57,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,41474,41514,32,132233,385
58,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,90307,90324,18,132233,385
59,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_030884.1,105881,105912,27,132233,385
60,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,77376,77405,27,132233,27
61,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,85505,85532,25,132233,27
62,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,99172,99191,20,132233,27
63,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,27293,27361,52,132233,27
64,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,3621,3689,52,132233,27
65,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,108006,108037,27,132233,27
66,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,17945,17973,25,132233,27
67,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,73684,73709,23,132233,27
68,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,1185,1225,32,132233,27
69,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,29757,29797,32,132233,27
70,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,36919,36939,20,132233,27
71,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,41474,41514,32,132233,27
72,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_027365.1,90307,90324,18,132233,27
73,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",NC_030884.1,105881,105912,27,132233,27
74,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,57631,57686,46,140377,2648
75,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,24341,24394,44,140377,2648
76,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,84124,84162,32,140377,2648
77,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,22162,22198,33,140377,2648
78,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,37822,37865,35,140377,2648
79,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,74433,74469,32,140377,2648
80,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,17358,17383,24,140377,2648
81,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,70288,70314,26,140377,2648
82,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,83262,83289,25,140377,2648
83,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,64614,64654,36,140377,2648
84,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,92280,92315,31,140377,2648
85,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,35627,35655,26,140377,2648
86,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,24418,24452,29,140377,2648
87,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,16125,16167,35,140377,2648
88,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,21174,21216,35,140377,2648
89,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,77694,77728,31,140377,2648
90,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,39230,39266,30,140377,2648
91,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,66647,66668,21,140377,2648
92,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,43443,43498,44,140377,2648
93,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,93213,93247,31,140377,2648
94,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,45759,45791,29,140377,2648
95,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,118918,118949,27,140377,2648
96,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,76305,76357,40,140377,2648
97,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,122162,122185,22,140377,2648
98,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,120231,120259,25,140377,2648
99,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,32616,32645,27,140377,2648
100,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,14057,14085,25,140377,2648
101,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,82692,82710,19,140377,2648
102,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,29327,29355,25,140377,2648
103,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,60928,60961,28,140377,2648
104,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,84484,84529,38,140377,2648
105,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,9052,9088,33,140377,2648
106,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,46812,46837,26,140377,2648
107,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,84808,84843,29,140377,2648
108,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,26303,26337,31,140377,2648
109,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,43341,43382,34,140377,2648
110,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,54760,54780,20,140377,2648
111,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,42395,42434,34,140377,2648
112,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,55025,55054,28,140377,2648
113,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,68955,68985,26,140377,2648
114,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,24698,24723,23,140377,2648
115,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,35583,35613,26,140377,2648
116,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,72659,72689,26,140377,2648
117,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,37283,37308,23,140377,2648
118,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,45988,46013,23,140377,2648
119,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,32428,32453,23,140377,2648
120,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,36157,36182,23,140377,2648
121,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,41508,41533,23,140377,2648
122,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,7518,7555,31,140377,2648
123,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,86234,86288,45,140377,2648
124,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,66569,66622,44,140377,2648
125,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,22760,22785,23,140377,2648
126,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,25215,25246,28,140377,2648
127,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,77312,77332,20,140377,2648
128,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,83650,83680,26,140377,2648
129,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,15338,15368,26,140377,2648
130,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,53042,53085,35,140377,2648
131,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,19603,19642,33,140377,2648
132,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,55681,55703,21,140377,2648
133,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,121146,121173,24,140377,2648
134,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,42650,42687,30,140377,2648
135,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,34921,34949,26,140377,2648
136,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,92528,92550,21,140377,2648
137,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,67587,67619,27,140377,2648
138,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,13612,13629,18,140377,2648
139,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,3277,3328,44,140377,2648
140,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,50949,50978,27,140377,2648
141,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,31160,31187,24,140377,2648
142,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,59291,59323,27,140377,2648
143,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,49177,49208,29,140377,2648
144,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,26349,26371,21,140377,2648
145,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,45229,45256,24,140377,2648
146,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,68819,68884,48,140377,2648
147,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,5658,5745,63,140377,2648
148,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,27681,27713,27,140377,2648
149,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,71554,71581,24,140377,2648
150,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,45930,45962,27,140377,2648
151,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,79877,79909,27,140377,2648
152,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,46378,46425,36,140377,2648
153,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,41420,41452,27,140377,2648
154,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,12931,12960,26,140377,2648
155,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,22333,22360,24,140377,2648
156,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,105805,105848,36,140377,2648
157,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,134347,134390,36,140377,2648
158,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,82945,82998,41,140377,2648
159,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,14100,14127,24,140377,2648
160,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,137983,138005,21,140377,2648
161,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,102190,102212,21,140377,2648
162,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,45630,45678,38,140377,2648
163,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",NC_027365.1,47272,47301,26,140377,2648
164,"JF999965.1_Anatid_alphaherpesvirus_1_Anatid_herpesvirus_1_strain_2085,_complete_genome",NC_030884.1,7603,7626,22,160649,22
165,"JN227533.1_Macacine_betaherpesvirus_8_Cynomolgus_macaque_cytomegalovirus_strain_Ottawa,_complete_genome",NC_027365.1,41772,41821,39,218041,67
166,"JN227533.1_Macacine_betaherpesvirus_8_Cynomolgus_macaque_cytomegalovirus_strain_Ottawa,_complete_genome",NC_027365.1,66390,66423,28,218041,67
167,"JN227533.1_Macacine_betaherpesvirus_8_Cynomolgus_macaque_cytomegalovirus_strain_Ottawa,_complete_genome",NC_030884.1,53133,53164,27,218041,67
168,"JN227533.1_Macacine_betaherpesvirus_8_Cynomolgus_macaque_cytomegalovirus_strain_Ottawa,_complete_genome",NC_027365.1,41772,41821,39,218041,27
169,"JN227533.1_Macacine_betaherpesvirus_8_Cynomolgus_macaque_cytomegalovirus_strain_Ottawa,_complete_genome",NC_027365.1,66390,66423,28,218041,27
170,"JN227533.1_Macacine_betaherpesvirus_8_Cynomolgus_macaque_cytomegalovirus_strain_Ottawa,_complete_genome",NC_030884.1,53133,53164,27,218041,27
171,"JN596962.1_Gallid_alphaherpesvirus_1_Gallid_herpesvirus_1_strain_SA2,_complete_genome",NC_027365.1,7982,8012,26,152975,71
172,"JN596962.1_Gallid_alphaherpesvirus_1_Gallid_herpesvirus_1_strain_SA2,_complete_genome",NC_027365.1,7878,7910,27,152975,71
173,"JN596962.1_Gallid_alphaherpesvirus_1_Gallid_herpesvirus_1_strain_SA2,_complete_genome",NC_027365.1,7951,7968,18,152975,71
174,"JN596962.1_Gallid_alphaherpesvirus_1_Gallid_herpesvirus_1_strain_SA2,_complete_genome",NC_030884.1,90338,90370,28,152975,71
175,"JN596962.1_Gallid_alphaherpesvirus_1_Gallid_herpesvirus_1_strain_SA2,_complete_genome",NC_030884.1,53568,53588,20,152975,71
